name,nm
C I,247.8561
C I,360.7948
C I,370.5557
C I,373.5777
C I,373.71887
C I,375.7833
C II,283.671
C II,283.7603
C II,391.8978
C II,392.0693
C II,426.7003
C II,426.7258
C II,426.7258
C II,657.805
C II,251.206
C II,260.107
C II,260.143
C II,260.146
C II,260.204
C II,260.24
C II,260.241
C II,260.316
C II,260.374
C II,260.487
C II,260.562
C II,266.9864
C II,274.648
C II,274.727
C II,274.733
C II,307.989
C III,260.974
C III,260.982
C III,261.001
C III,279.4569
C III,279.646
C III,279.648
C III,279.9512
C III,279.9535
C III,279.947
C III,285.03
C III,383.8913
C IV,293.506
C IV,293.512
C II,308.115
C II,308.178
C II,336.089
C II,336.1051
C II,383.6699
C V,358.1757





